model,accuracy,cost_usd,run_id,generated_at
gemini-2.0-flash,0.6297,1.694302,,2026-02-16T12:31:25Z
gemini-2.5-flash,0.9408,0.729237,,2026-02-16T12:31:25Z
gemini-2.5-flash-preview-09-2025,0.9331,0.247224,,2026-02-16T12:31:25Z
gemini-2.5-pro,0.9216,2.857463,,2026-02-16T12:31:25Z
gemini-3-flash-preview,0.6564,7.966047,,2026-02-16T12:31:25Z
gemini-3-pro-preview,0.8190,17.422723,,2026-02-16T12:31:25Z
gpt-4.1,0.9440,9.855269,,2026-02-16T12:31:25Z
gpt-4.1-mini,0.8471,2.443859,,2026-02-16T12:31:25Z
gpt-4.1-nano,0.7648,0.673630,,2026-02-16T12:31:25Z
gpt-4o,0.8672,12.015666,,2026-02-16T12:31:25Z
gpt-4o-mini,0.8329,16.323923,,2026-02-16T12:31:25Z
gpt-5,0.9758,12.697043,,2026-02-16T12:31:25Z
gpt-5-mini,0.9682,1.726110,,2026-02-16T12:31:25Z
gpt-5-nano,0.9464,0.463745,,2026-02-16T12:31:25Z
gpt-5.1,0.9365,5.808463,,2026-02-16T12:31:25Z
gpt-5.2,0.9670,8.286067,,2026-02-16T12:31:25Z
