model,baseline,current,n_comparisons,bonferroni,n,a,b,c,d,acc1,acc2,delta,ndis,discordance,p,alert_raw,alert_bonf,alert_bonf_floor,alert_3pp,alert_5pp
claude-haiku-4-5,2026-03-08,2026-03-10,22,0.002272727272727273,298,249,2,3,44,0.8422818791946308,0.8456375838926175,0.003355704697986577,5,0.016778523489932886,0.8125,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-03-16,22,0.002272727272727273,294,245,2,5,42,0.8401360544217688,0.8503401360544217,0.01020408163265306,7,0.023809523809523808,0.9375,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-03-22,22,0.002272727272727273,265,220,2,6,37,0.8377358490566038,0.8528301886792453,0.01509433962264151,8,0.03018867924528302,0.96484375,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-04-01,22,0.002272727272727273,265,219,3,3,40,0.8377358490566038,0.8377358490566038,0.0,6,0.022641509433962263,0.65625,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-04-06,22,0.002272727272727273,295,247,2,3,43,0.8440677966101695,0.847457627118644,0.003389830508474576,5,0.01694915254237288,0.8125,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-04-13,22,0.002272727272727273,298,249,2,3,44,0.8422818791946308,0.8456375838926175,0.003355704697986577,5,0.016778523489932886,0.8125,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-04-20,22,0.002272727272727273,299,250,2,3,44,0.842809364548495,0.8461538461538461,0.0033444816053511705,5,0.016722408026755852,0.8125,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-04-27,22,0.002272727272727273,298,248,3,6,41,0.8422818791946308,0.8523489932885906,0.010067114093959731,9,0.030201342281879196,0.91015625,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-05-04,22,0.002272727272727273,298,248,3,6,41,0.8422818791946308,0.8523489932885906,0.010067114093959731,9,0.030201342281879196,0.91015625,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-05-11,22,0.002272727272727273,299,250,2,5,42,0.842809364548495,0.8528428093645485,0.010033444816053512,7,0.023411371237458192,0.9375,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-05-18,22,0.002272727272727273,299,248,4,6,41,0.842809364548495,0.8494983277591973,0.006688963210702341,10,0.033444816053511704,0.828125,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-05-25,22,0.002272727272727273,298,249,2,5,42,0.8422818791946308,0.8523489932885906,0.010067114093959731,7,0.02348993288590604,0.9375,0,0,0,0,0
