day,run_type,acc,n
2026-03-08,monitoring,0.7966666666666666,300
2026-03-10,monitoring,0.8066666666666666,300
2026-03-15,monitoring,0.7892976588628763,299
2026-03-22,monitoring,0.6632996632996633,297
2026-03-23,monitoring,0.5133333333333333,300
2026-03-28,monitoring,0.7966666666666666,300
2026-04-01,monitoring,0.8060200668896321,299
2026-04-06,monitoring,0.802675585284281,299
2026-04-13,monitoring,0.8033333333333333,300
2026-04-20,monitoring,0.8060200668896321,299
2026-04-27,monitoring,0.7866666666666666,300
2026-05-11,monitoring,0.79,300
2026-05-18,monitoring,0.82,300
2026-05-22,benchmark,0.6868686868686869,297
2026-05-25,monitoring,0.8260869565217391,299
2026-06-01,monitoring,0.8087248322147651,298
2026-06-08,monitoring,0.8166666666666667,300
2026-06-15,monitoring,0.7919463087248322,298
2026-06-22,monitoring,0.8160535117056856,299
2026-06-29,monitoring,0.81,300
2026-07-06,monitoring,0.7966666666666666,300
2026-07-09,monitoring,0.8066666666666666,300
2026-07-13,monitoring,0.7966666666666666,300
2026-07-20,monitoring,0.7959866220735786,299
2026-07-27,monitoring,0.8060200668896321,299
