analysis_version,artifact,sha256,bytes
canonical-evidence-v1.0.0,baseline_to_later_mcnemar.csv,c6aaa65fdf22dd2fbdc267b343d5119c444e5b02f488849ed9ce92e80d18c772,39525
canonical-evidence-v1.0.0,canonical_summary.json,22ab7393cf5e57d9603a7a077a84025d05a07a145932602518718a23595268d0,2191
canonical-evidence-v1.0.0,deployment_cost_map_source.csv,0ce9662d46241194b94c7300aef0f319b9cc8f23b2dbcb23825d8a1a99ffe1b8,7256176
canonical-evidence-v1.0.0,deployment_cost_may22.csv,3cf8e148075b114feaf5debe1baf18f9d72a2aa1dba1828d15f37558c788133b,1359
canonical-evidence-v1.0.0,eligible_monitoring_runs.csv,651af78cbdec160a1caabf1821dfdf971dbb069c7e6bcd31617e64733dc53bad,13188
canonical-evidence-v1.0.0,exact_unconditional_power_sensitivity.csv,c7f2e2966f5c667c40db6abc44dc442a5dc4e4ce36e3a58ef9a30fe80e873143,3831
canonical-evidence-v1.0.0,excluded_conflicting_runs.csv,9c9ca366b6dc86a0adffae8f1a9527e032544f7b557c391a7686e3da3f1aa725,13
canonical-evidence-v1.0.0,gepa_existing_artifacts.csv,25d6186fb1134e0ee4dd8ed7e03f45bb3ad117b57990845108eecd20eade531a,744
canonical-evidence-v1.0.0,input_manifest.json,65820d4d80c65bbfdd0fbf9e44f1c0e82c6ada1b240a45723cc1cbaf2ffc2dd4,1223
canonical-evidence-v1.0.0,panel_ids.txt,bfcfcbb85ab433349f2825616c6baa96d4c2bbbd5a385c82999bac2bb8887e34,6363
