model,baseline_run_id,later_run_id,baseline_started,later_started,n_pairs,acc_baseline,acc_later,b_degrade,c_improve,discordance,delta,p_down,p_down_holm,holm_reject,operational_floor_met,operational_alert
claude-haiku-4-5,gha-23349348405,gha-23832575964,2026-03-22 18:26:30.768000+00:00,2026-04-01 04:59:46.310000+00:00,265,0.8528301886792453,0.8377358490566038,4,0,0.01509433962264151,-0.01509433962264151,0.0625,1.0,False,False,False
claude-haiku-4-5,gha-23349348405,gha-24328022313,2026-03-22 18:26:30.768000+00:00,2026-04-13 06:02:00.015000+00:00,265,0.8528301886792453,0.8415094339622642,5,2,0.026415094339622643,-0.011320754716981131,0.2265625,1.0,False,False,False
claude-haiku-4-5,gha-23349348405,gha-24650819763,2026-03-22 18:26:30.768000+00:00,2026-04-20 06:01:39.250000+00:00,266,0.8533834586466166,0.8421052631578947,5,2,0.02631578947368421,-0.011278195488721804,0.2265625,1.0,False,False,False
claude-haiku-4-5,gha-23349348405,gha-24979191336,2026-03-22 18:26:30.768000+00:00,2026-04-27 06:09:07.591000+00:00,265,0.8528301886792453,0.8490566037735849,6,5,0.04150943396226415,-0.0037735849056603774,0.5,1.0,False,False,False
claude-haiku-4-5,gha-23349348405,gha-25303760670,2026-03-22 18:26:30.768000+00:00,2026-05-04 06:08:09.777000+00:00,265,0.8528301886792453,0.8490566037735849,6,5,0.04150943396226415,-0.0037735849056603774,0.5,1.0,False,False,False
claude-haiku-4-5,gha-23349348405,gha-25653805302,2026-03-22 18:26:30.768000+00:00,2026-05-11 06:26:26.839000+00:00,266,0.8533834586466166,0.849624060150376,5,4,0.03383458646616541,-0.0037593984962406013,0.5,1.0,False,False,False
claude-haiku-4-5,gha-23349348405,gha-26017377983,2026-03-22 18:26:30.768000+00:00,2026-05-18 06:35:44.234000+00:00,266,0.8533834586466166,0.8421052631578947,6,3,0.03383458646616541,-0.011278195488721804,0.25390625,1.0,False,False,False
claude-haiku-4-5,gha-23349348405,gha-26386972486,2026-03-22 18:26:30.768000+00:00,2026-05-25 06:42:08.893000+00:00,265,0.8528301886792453,0.8490566037735849,5,4,0.033962264150943396,-0.0037735849056603774,0.5,1.0,False,False,False
claude-haiku-4-5,gha-23349348405,gha-26739370271,2026-03-22 18:26:30.768000+00:00,2026-06-01 06:47:46.024000+00:00,265,0.8528301886792453,0.8452830188679246,6,4,0.03773584905660377,-0.007547169811320755,0.376953125,1.0,False,False,False
claude-haiku-4-5,gha-23349348405,gha-27120305151,2026-03-22 18:26:30.768000+00:00,2026-06-08 06:40:50.313000+00:00,266,0.8533834586466166,0.849624060150376,5,4,0.03383458646616541,-0.0037593984962406013,0.5,1.0,False,False,False
