model,run_id,started,n_items,panel_only
claude-haiku-4-5,gha-23349348405,2026-03-22 18:26:30.768000+00:00,266,True
claude-haiku-4-5,gha-23832575964,2026-04-01 04:59:46.310000+00:00,266,True
claude-haiku-4-5,gha-24328022313,2026-04-13 06:02:00.015000+00:00,299,True
claude-haiku-4-5,gha-24650819763,2026-04-20 06:01:39.250000+00:00,300,True
claude-haiku-4-5,gha-24979191336,2026-04-27 06:09:07.591000+00:00,299,True
claude-haiku-4-5,gha-25303760670,2026-05-04 06:08:09.777000+00:00,299,True
claude-haiku-4-5,gha-25653805302,2026-05-11 06:26:26.839000+00:00,300,True
claude-haiku-4-5,gha-26017377983,2026-05-18 06:35:44.234000+00:00,300,True
claude-haiku-4-5,gha-26386972486,2026-05-25 06:42:08.893000+00:00,299,True
claude-haiku-4-5,gha-26739370271,2026-06-01 06:47:46.024000+00:00,299,True
claude-haiku-4-5,gha-27120305151,2026-06-08 06:40:50.313000+00:00,300,True
claude-haiku-4-5,gha-27529172037,2026-06-15 06:56:25.036000+00:00,299,True
claude-haiku-4-5,gha-27934941478,2026-06-22 06:57:20.858000+00:00,299,True
claude-haiku-4-5,gha-28353397523,2026-06-29 06:43:52.910000+00:00,300,True
claude-haiku-4-5,gha-28772619054,2026-07-06 06:41:16.064000+00:00,299,True
claude-sonnet-4-5,gha-23349348405,2026-03-22 18:26:05.869000+00:00,265,True
claude-sonnet-4-5,gha-23832575964,2026-04-01 04:59:16.999000+00:00,267,True
claude-sonnet-4-5,gha-24328022313,2026-04-13 06:01:33.680000+00:00,299,True
claude-sonnet-4-5,gha-24650819763,2026-04-20 06:01:13.670000+00:00,299,True
claude-sonnet-4-5,gha-24979191336,2026-04-27 06:08:42.413000+00:00,300,True
claude-sonnet-4-5,gha-25303760670,2026-05-04 06:07:45.451000+00:00,298,True
claude-sonnet-4-5,gha-25653805302,2026-05-11 06:26:02.667000+00:00,299,True
claude-sonnet-4-5,gha-26017377983,2026-05-18 06:35:19.998000+00:00,299,True
claude-sonnet-4-5,gha-26386972486,2026-05-25 06:41:33.312000+00:00,299,True
