scope,model,n,rho,target_power,nominal_alpha,nominal_g_80,nominal_80_attainable,family_alpha,family_g_80,family_80_attainable,floor_admissible,power_5pp_admissible,power_8pp_admissible,nominal_power_at_floor,family_power_at_floor,nominal_power_at_5pp,family_power_at_5pp,nominal_power_at_8pp,family_power_at_8pp
design_grid,rho=0.06,300,0.06,0.8,0.05,0.036491466723382465,True,0.00028901734104046245,0.055639932174235573,True,True,True,False,0.9827275152536797,0.5598457583557894,0.9827275152536797,0.5598457583557894,,
design_grid,rho=0.08,300,0.08,0.8,0.05,0.04221626169979571,True,0.00028901734104046245,0.06629792414605619,True,True,True,True,0.9194268189462094,0.3172846702709337,0.9194268189462094,0.3172846702709337,0.9999996960027914,0.9981608474139839
design_grid,rho=0.10,300,0.1,0.8,0.05,0.04712939905002713,True,0.00028901734104046245,0.07505579320713879,True,True,True,True,0.8451933314644833,0.2043518100209155,0.8451933314644833,0.2043518100209155,0.9990629396650478,0.8906556371360961
design_grid,rho=0.12,300,0.12,0.8,0.05,0.05152359986677765,True,0.00028901734104046245,0.08323945065960286,True,True,True,True,0.7761343012607932,0.13741121007720447,0.7761343012607932,0.13741121007720447,0.9938002971509396,0.7364519840912086
design_grid,rho=0.15,300,0.15,0.8,0.05,0.057672742009162906,True,0.00028901734104046245,0.09440889051184058,True,True,True,True,0.6838909527976321,0.08616540627385497,0.6838909527976321,0.08616540627385497,0.9742522568660997,0.532553483303214
design_grid,rho=0.20,300,0.2,0.8,0.05,0.06645769104361535,True,0.00028901734104046245,0.11000207224860784,True,True,True,True,0.5714733077946124,0.049296649332418396,0.5714733077946124,0.049296649332418396,0.9192083698564784,0.3275386514251567
observed_model_median,claude-haiku-4-5,300,0.0338984253085544,0.8,0.05,0.02766686854993689,True,0.00028901734104046245,,False,False,False,False,,,,,,
observed_model_median,claude-sonnet-4-5,300,0.030303030303030304,0.8,0.05,0.026095812745166543,True,0.00028901734104046245,,False,False,False,False,,,,,,
observed_model_median,claude-sonnet-4-6,300,0.01512292738707833,0.8,0.05,,False,0.00028901734104046245,,False,False,False,False,,,,,,
observed_model_median,gemini-2.5-flash,300,0.01675046575834437,0.8,0.05,,False,0.00028901734104046245,,False,False,False,False,,,,,,
observed_model_median,gpt-4.1-mini,300,0.062187874268411186,0.8,0.05,0.037147725342039445,True,0.00028901734104046245,0.05692405472436852,True,True,True,False,0.9775001510020582,0.5193248558030206,0.9775001510020582,0.5193248558030206,,
observed_model_median,gpt-4.1-nano,300,0.15166666666666667,0.8,0.05,0.057993687373430775,True,0.00028901734104046245,0.09497498295425125,True,True,True,True,0.679354465545441,0.08431490110632928,0.679354465545441,0.08431490110632928,0.9727675675736364,0.5234542776444815
observed_model_median,gpt-5,300,0.006666666666666667,0.8,0.05,,False,0.00028901734104046245,,False,False,False,False,,,,,,
observed_model_median,gpt-5-mini,300,0.0802675585284281,0.8,0.05,0.04228764909465974,True,0.00028901734104046245,0.06642386461779426,True,True,True,True,0.9184273281112149,0.31528746262011154,0.9184273281112149,0.31528746262011154,0.9999993456612175,0.9975757716063611
observed_model_median,gpt-5-nano,300,0.12416107382550336,0.8,0.05,0.05240895460678526,True,0.00028901734104046245,0.08488999497170416,True,True,True,True,0.7623797560639839,0.12748417862140898,0.7623797560639839,0.12748417862140898,0.9919624559729505,0.7040482869647857
observed_model_median,gpt-5.1,300,0.020202020202020204,0.8,0.05,,False,0.00028901734104046245,,False,False,False,False,,,,,,
observed_model_median,gpt-5.2,300,0.01,0.8,0.05,,False,0.00028901734104046245,,False,False,False,False,,,,,,
observed_model_median,gpt-5.4,300,0.013377926421404682,0.8,0.05,,False,0.00028901734104046245,,False,False,False,False,,,,,,
