model,n,tp,fp,tn,fn,accuracy,avg_inference_cost,expected_cost
gpt-5,300,249,8,42,1,0.97,0.006821954166666659,0.03682195416666666
gpt-5.2,299,249,9,41,0,0.9698996655518395,0.009009784280936446,0.03911011872909698
gpt-5.1,300,244,7,43,6,0.9566666666666667,0.006055254166666657,0.04938858749999999
gpt-5.4,300,248,10,40,2,0.96,0.013112166666666659,0.05311216666666666
claude-sonnet-4-6,267,217,9,39,2,0.9588014981273408,0.01714990639999999,0.058348408272659164
gpt-5-mini,300,226,4,46,24,0.9066666666666666,0.0013536112499999866,0.09468694458333332
claude-sonnet-4-5,267,199,5,43,20,0.9063670411985019,0.018298895599999986,0.11193185440149812
gpt-5-nano,299,210,2,48,39,0.862876254180602,0.00034881939799330866,0.1374725652173913
claude-haiku-4-5,266,180,5,43,38,0.8383458646616542,0.00602560501672238,0.16767974035506825
gpt-4.1-mini,299,191,1,49,58,0.802675585284281,0.0023213411371237444,0.1996457558528428
gpt-4.1-nano,299,176,10,40,73,0.7224080267558528,0.0008151030100334401,0.2784070762541806
