model,metric,value
claude-haiku-4-5,accuracy,0.8383458646616542
claude-sonnet-4-5,accuracy,0.9063670411985019
claude-sonnet-4-6,accuracy,0.9588014981273408
gpt-4.1-mini,accuracy,0.802675585284281
gpt-4.1-nano,accuracy,0.7224080267558528
gpt-5,accuracy,0.97
gpt-5-mini,accuracy,0.9066666666666666
gpt-5-nano,accuracy,0.862876254180602
gpt-5.1,accuracy,0.9566666666666667
gpt-5.2,accuracy,0.9698996655518395
gpt-5.4,accuracy,0.96
claude-haiku-4-5,precision,0.972972972972973
claude-sonnet-4-5,precision,0.9754901960784313
claude-sonnet-4-6,precision,0.9601769911504425
gpt-4.1-mini,precision,0.9947916666666666
gpt-4.1-nano,precision,0.946236559139785
gpt-5,precision,0.9688715953307393
gpt-5-mini,precision,0.9826086956521739
gpt-5-nano,precision,0.9905660377358491
gpt-5.1,precision,0.9721115537848606
gpt-5.2,precision,0.9651162790697675
gpt-5.4,precision,0.9612403100775194
claude-haiku-4-5,recall,0.8256880733944955
claude-sonnet-4-5,recall,0.908675799086758
claude-sonnet-4-6,recall,0.9908675799086758
gpt-4.1-mini,recall,0.7670682730923695
gpt-4.1-nano,recall,0.7068273092369478
gpt-5,recall,0.996
gpt-5-mini,recall,0.904
gpt-5-nano,recall,0.8433734939759037
gpt-5.1,recall,0.976
gpt-5.2,recall,1.0
gpt-5.4,recall,0.992
claude-haiku-4-5,f1,0.8933002481389578
claude-sonnet-4-5,f1,0.9408983451536643
claude-sonnet-4-6,f1,0.9752808988764045
gpt-4.1-mini,f1,0.8662131519274376
gpt-4.1-nano,f1,0.8091954022988506
gpt-5,f1,0.9822485207100592
gpt-5-mini,f1,0.9416666666666667
gpt-5-nano,f1,0.911062906724512
gpt-5.1,f1,0.9740518962075848
gpt-5.2,f1,0.9822485207100592
gpt-5.4,f1,0.9763779527559056
claude-haiku-4-5,specificity,0.8958333333333334
claude-sonnet-4-5,specificity,0.8958333333333334
claude-sonnet-4-6,specificity,0.8125
gpt-4.1-mini,specificity,0.98
gpt-4.1-nano,specificity,0.8
gpt-5,specificity,0.84
gpt-5-mini,specificity,0.92
gpt-5-nano,specificity,0.96
gpt-5.1,specificity,0.86
gpt-5.2,specificity,0.82
gpt-5.4,specificity,0.8
claude-haiku-4-5,balanced_accuracy,0.8607607033639144
claude-sonnet-4-5,balanced_accuracy,0.9022545662100456
claude-sonnet-4-6,balanced_accuracy,0.901683789954338
gpt-4.1-mini,balanced_accuracy,0.8735341365461847
gpt-4.1-nano,balanced_accuracy,0.753413654618474
gpt-5,balanced_accuracy,0.9179999999999999
gpt-5-mini,balanced_accuracy,0.912
gpt-5-nano,balanced_accuracy,0.9016867469879518
gpt-5.1,balanced_accuracy,0.9179999999999999
gpt-5.2,balanced_accuracy,0.9099999999999999
gpt-5.4,balanced_accuracy,0.896
claude-haiku-4-5,pr_auc,0.9707590946123057
claude-sonnet-4-5,pr_auc,0.979536181103194
claude-sonnet-4-6,pr_auc,0.979267603881619
gpt-4.1-mini,pr_auc,0.977919936434702
gpt-4.1-nano,pr_auc,0.9486055127836842
gpt-5,pr_auc,0.9841024643320363
gpt-5-mini,pr_auc,0.983304347826087
gpt-5-nano,pr_auc,0.9821871571602241
gpt-5.1,pr_auc,0.9840557768924303
gpt-5.2,pr_auc,0.9825581395348837
gpt-5.4,pr_auc,0.979953488372093
