model,n,tp,fp,tn,fn,accuracy,precision,recall,f1,specificity,balanced_accuracy,pr_auc
claude-haiku-4-5,266,180,5,43,38,0.8383458646616542,0.972972972972973,0.8256880733944955,0.8933002481389578,0.8958333333333334,0.8607607033639144,0.9707590946123057
claude-sonnet-4-5,267,199,5,43,20,0.9063670411985019,0.9754901960784313,0.908675799086758,0.9408983451536643,0.8958333333333334,0.9022545662100456,0.979536181103194
claude-sonnet-4-6,267,217,9,39,2,0.9588014981273408,0.9601769911504425,0.9908675799086758,0.9752808988764045,0.8125,0.901683789954338,0.979267603881619
gpt-4.1-mini,299,191,1,49,58,0.802675585284281,0.9947916666666666,0.7670682730923695,0.8662131519274376,0.98,0.8735341365461847,0.977919936434702
gpt-4.1-nano,299,176,10,40,73,0.7224080267558528,0.946236559139785,0.7068273092369478,0.8091954022988506,0.8,0.753413654618474,0.9486055127836842
gpt-5,300,249,8,42,1,0.97,0.9688715953307393,0.996,0.9822485207100592,0.84,0.9179999999999999,0.9841024643320363
gpt-5-mini,300,226,4,46,24,0.9066666666666666,0.9826086956521739,0.904,0.9416666666666667,0.92,0.912,0.983304347826087
gpt-5-nano,299,210,2,48,39,0.862876254180602,0.9905660377358491,0.8433734939759037,0.911062906724512,0.96,0.9016867469879518,0.9821871571602241
gpt-5.1,300,244,7,43,6,0.9566666666666667,0.9721115537848606,0.976,0.9740518962075848,0.86,0.9179999999999999,0.9840557768924303
gpt-5.2,299,249,9,41,0,0.9698996655518395,0.9651162790697675,1.0,0.9822485207100592,0.82,0.9099999999999999,0.9825581395348837
gpt-5.4,300,248,10,40,2,0.96,0.9612403100775194,0.992,0.9763779527559056,0.8,0.896,0.979953488372093
