timestamp_utc,event,iteration,candidate_idx,val_accuracy,test_accuracy,val_examples_evaluated,val_total_size,is_best_program,proposal_accepted,best_val_accuracy_so_far,metric_calls_used,notes
2026-07-13T18:56:47.683812+00:00,baseline_eval,0,0,0.765690,0.784232,,,,,,,
2026-07-13T18:56:48.862647+00:00,optimization_start,0,,,,,239,,,,,trainset_size=719
2026-07-13T18:58:44.823086+00:00,valset_evaluated,0,0,0.765690,,239,239,True,,0.765690,,accepted_candidate
2026-07-13T18:59:13.857012+00:00,iteration_end,1,,,,,,,False,0.765690,,
2026-07-13T19:05:20.593613+00:00,valset_evaluated,2,1,0.736402,,239,239,False,,0.765690,,
2026-07-13T19:07:58.701306+00:00,test_eval_during_search,2,1,0.736402,0.763485,,,,,,,held_out_test_not_used_for_gepa_selection
2026-07-13T19:07:58.709173+00:00,iteration_end,2,,,,,,,True,0.765690,,
2026-07-13T19:10:33.451600+00:00,valset_evaluated,3,2,0.794979,,239,239,True,,0.794979,,accepted_candidate
2026-07-13T19:13:50.777606+00:00,test_eval_during_search,3,2,0.794979,0.767635,,,,,,,held_out_test_not_used_for_gepa_selection
2026-07-13T19:13:50.782620+00:00,iteration_end,3,,,,,,,True,0.794979,,
2026-07-13T19:16:24.384159+00:00,valset_evaluated,4,3,0.711297,,239,239,False,,0.794979,,
2026-07-13T19:18:53.292460+00:00,test_eval_during_search,4,3,0.711297,0.692946,,,,,,,held_out_test_not_used_for_gepa_selection
2026-07-13T19:18:53.297001+00:00,iteration_end,4,,,,,,,True,0.794979,,
2026-07-13T19:21:29.969968+00:00,valset_evaluated,5,4,0.761506,,239,239,False,,0.794979,,
2026-07-13T19:24:33.371149+00:00,test_eval_during_search,5,4,0.761506,0.771784,,,,,,,held_out_test_not_used_for_gepa_selection
2026-07-13T19:24:33.378804+00:00,iteration_end,5,,,,,,,True,0.794979,,
2026-07-13T19:25:22.831687+00:00,iteration_end,6,,,,,,,False,0.794979,,
2026-07-13T19:25:52.430193+00:00,iteration_end,7,,,,,,,False,0.794979,,
2026-07-13T19:26:11.880531+00:00,iteration_end,8,,,,,,,False,0.794979,,
2026-07-13T19:26:44.218040+00:00,iteration_end,9,,,,,,,False,0.794979,,
2026-07-13T19:29:08.819216+00:00,valset_evaluated,10,5,0.656904,,239,239,False,,0.794979,,
2026-07-13T19:32:35.098632+00:00,test_eval_during_search,10,5,0.656904,0.692946,,,,,,,held_out_test_not_used_for_gepa_selection
2026-07-13T19:32:35.106066+00:00,iteration_end,10,,,,,,,True,0.794979,,
2026-07-13T19:33:13.058144+00:00,iteration_end,11,,,,,,,False,0.794979,,
2026-07-13T19:33:13.067405+00:00,optimization_end,10,2,,,,,,,0.794979,1500,
2026-07-13T19:33:13.068809+00:00,final_test_eval,1500,2,0.794979,0.767635,,,,,,,selection=best_by_val
2026-07-13T19:33:13.069280+00:00,final_test_eval,1500,2,0.794979,0.767635,,,,,,,selection=conservative_within_0.020_val_margin
